_idx _index _name area_exact dend_flux_226GHz dend_flux_93GHz detected_226GHz detected_93GHz major_fwhm minor_fwhm position_angle radius rejected x_cen y_cen snr_226GHz
0 0 226000 2.6881944444442296e-09 0.0216745204246657 "" 1 "" 6.094320796988987e-05 2.4274697197868504e-05 112.36229924061479 1.633359723240518e-05 1 290.93262418373143 14.506971806033004 ""
1 1 226001 3.8541666666663584e-10 0.0034802187833753977 0.0005362579659587778 1 1 1.742323609605898e-05 9.98558206281194e-06 46.79691481339097 5.020132896892872e-06 0 290.93371900748224 14.507032996988855 ""
2 2 226002 4.587499999999633e-09 0.038393612445000266 "" 1 "" 6.781863389565283e-05 3.2928060977726355e-05 109.26168814596397 2.0067805045975032e-05 1 290.9327553587353 14.507137042711516 ""
3 3 226003 1.7312499999998614e-09 0.013511906477139944 "" 1 "" 4.4457541869094745e-05 2.0597775897929222e-05 91.0934491249093 1.2850652015771551e-05 1 290.93277772962637 14.50725607041403 ""
4 4 226004 2.437499999999805e-10 0.002457044969325158 "" 1 "" 9.774163360346992e-06 8.652818726241408e-06 -159.199138399932 3.905358216142557e-06 0 290.93325403192387 14.507259904782071 ""
5 5 226005 3.138888888888638e-10 0.0026684116246301188 "" 1 "" 1.3841942539873498e-05 9.12024007078204e-06 58.85095563494338 4.771379191228111e-06 1 290.932807658191 14.507305716286536 ""
6 6 226006 1.9708333333331756e-09 0.014818753612024246 "" 1 "" 3.7607543612767e-05 2.4865289787363725e-05 171.1652565820468 1.2986033604749096e-05 1 290.932922258928 14.507331910711876 ""
8 7 226008 1.6923611111109756e-09 0.04080231275115293 "" 1 "" 2.5791604807700867e-05 2.065034200432671e-05 137.75663619576017 9.800428919597918e-06 1 290.9327477301235 14.507378907397998 ""
10 8 226010 6.041666666666183e-10 0.008100725186999093 "" 1 "" 2.1381362492260158e-05 1.210905611674917e-05 114.54378330317199 6.83305804779188e-06 1 290.9328069856382 14.507417828103847 ""
11 9 226011 1.103472222222134e-09 0.013494686883875631 "" 1 "" 3.1758979815063384e-05 1.8126429684784056e-05 -158.51899742162823 1.0189002831926142e-05 1 290.93275778920446 14.50743069822004 ""
14 10 226014 1.1736111111110173e-09 0.0143567569917603 "" 1 "" 2.4895150256896008e-05 2.1747026451632192e-05 155.25406931412383 9.880970285399793e-06 1 290.93292269019327 14.507540856974256 ""
15 11 226015 1.2506944444443443e-09 0.016014219186084328 0.002506022168802473 1 1 2.277125233542488e-05 1.9746486023006418e-05 2.0319426496131157 8.702359536520302e-06 0 290.9334733706262 14.507546039709489 ""
16 12 226016 1.3847222222221114e-09 0.013260489543489512 "" 1 "" 5.1880522635087156e-05 1.6253055843393727e-05 -177.78873204086955 1.2331387948254206e-05 1 290.9327670041711 14.507562011917887 ""
18 13 226018 1.6909722222220869e-09 0.030290604409304093 0.003025525040242662 1 1 3.068486832706688e-05 2.4453391196887886e-05 150.30884211166992 1.1632523961260836e-05 0 290.93288632405324 14.507582906260383 ""
22 14 226022 1.3388888888887818e-09 0.01078859622979431 "" 1 "" 3.825019674718845e-05 1.7029803848309106e-05 102.00546296970725 1.0838369068308702e-05 1 290.9328228358637 14.507651098281494 ""
23 15 226023 3.590277777777491e-10 0.011381474688779534 0.005892464867848396 1 1 3.2856628030943025e-05 2.056272218890755e-05 76.64744219846152 5.14765042512838e-06 0 290.93291138729575 14.50764185880164 ""
24 16 226024 1.2222222222221245e-10 0.0034798608993757644 "" 1 "" 7.956762120979904e-06 6.598292360895585e-06 -146.48410754851523 3.076991102808728e-06 0 290.9329127421085 14.507659413824936 ""
26 17 226026 1.7152777777776407e-10 0.0024869251815357505 "" 1 "" 1.3237930170183391e-05 7.013637088766856e-06 -155.85466727493917 4.0918901289286856e-06 1 290.9329158540699 14.507692959486176 ""
31 18 226031 4.312499999999655e-10 0.0080456064625754 "" 1 "" 3.0024730012707723e-05 7.899529803332866e-06 94.90017480153764 6.540070838205422e-06 1 290.9329346553541 14.507742284340432 ""
32 19 226032 7.847222222221594e-10 0.00901084912858006 "" 1 "" 2.3371803002581157e-05 1.2871717408008963e-05 64.97152721461651 7.365574604330573e-06 1 290.93287267413507 14.507741879304136 ""
35 20 226035 6.805555555555011e-10 0.013635091084618597 "" 1 "" 3.3555493820755676e-05 8.62805387924504e-06 -154.81350612632718 7.225709834644239e-06 1 290.93283257600604 14.5078051036652 ""
37 21 226037 3.833333333333027e-10 0.005305018646842039 "" 1 "" 2.3897010263101406e-05 9.556531112764667e-06 71.21202831300904 6.41747521500979e-06 1 290.93278381983697 14.507842139072853 ""
39 22 226039 3.0041666666664264e-09 0.027924139283966826 "" 1 "" 4.3455197724329195e-05 3.367164943478578e-05 -158.3431765341163 1.6244088119568505e-05 1 290.9330377733821 14.507864656380557 ""
40 23 226040 1.3888888888887777e-10 0.020458193759900437 "" 1 "" 8.202733363168047e-06 6.866080388048381e-06 74.88180028896005 3.186955616282558e-06 0 290.93293355473514 14.507847345535108 ""
41 24 226041 3.0138888888886477e-10 0.01170143439700155 "" 1 "" 1.5298914866467832e-05 8.55241700059357e-06 173.09820523857573 4.857547141326485e-06 1 290.9328313237277 14.507850471520952 ""
42 25 226042 1.0277777777776956e-10 0.01213793315035278 "" 1 "" 1.0386578515873041e-05 4.407452274743772e-06 -141.0067153687028 2.873242881226722e-06 1 290.9329218285141 14.507863013970917 ""
43 26 226043 8.7499999999993e-11 0.0009997186911224316 0.0004950934775085137 1 1 1.30540259022713e-05 7.97005196330648e-06 -140.61796207445644 2.3099735678074285e-06 0 290.93283855036043 14.507895750491313 ""
44 27 226044 2.67083333333312e-09 0.024861945267822604 "" 1 "" 4.7834341197391226e-05 2.4702289552351403e-05 51.63095774836023 1.4597577125761402e-05 1 290.9329507975369 14.507976297180798 ""
45 28 226045 1.2590277777776771e-09 0.008968342850641374 "" 1 "" 3.536231726181084e-05 1.548663744458314e-05 119.41097596250911 9.937821680784052e-06 1 290.9329189204031 14.508185745149174 ""
46 29 226046 3.043055555555312e-09 0.021674605092967696 "" 1 "" 5.525483611406176e-05 2.7809104054973152e-05 102.06905934791304 1.6646422841858153e-05 1 290.9327268786135 14.508263923935434 ""
47 30 226047 3.469444444444167e-09 0.02663212446152379 "" 1 "" 5.020952516132882e-05 3.156315813008488e-05 84.67975870682571 1.6905404186431755e-05 1 290.93306983673693 14.508308430324826 ""
48 31 226048 4.7222222222218446e-09 0.035430725954048545 "" 1 "" 7.048297898527388e-05 3.725798920841432e-05 109.34395607920528 2.1761764589777386e-05 1 290.9330642389666 14.508614537937817 ""
49 32 226049 2.269444444444263e-09 0.015371365693502108 "" 1 "" 4.779115312429532e-05 2.58621785276298e-05 100.58750289737978 1.4929614139302998e-05 1 290.9328541022474 14.508720757422122 ""
50 33 226050 4.443749999999645e-09 0.030852390854435297 "" 1 "" 7.537551671497575e-05 3.500760091113145e-05 106.07684190822798 2.1814165404959665e-05 1 290.9326268733009 14.508794799076878 ""
51 34 226051 6.002083333332853e-09 0.04418926483100117 "" 1 "" 0.00011129585155770855 3.2394568941750755e-05 139.40099267982814 2.5498689882361977e-05 1 290.93306830459585 14.508873562884931 ""
52 35 226052 2.040972222222059e-09 0.013957118462475082 "" 1 "" 3.867170194865236e-05 2.8499840713148382e-05 106.54596703946184 1.4098085344017455e-05 1 290.9328886410627 14.509013316500118 ""
53 36 226053 5.5111111111106705e-09 0.04477570310203473 "" 1 "" 9.884208255474608e-05 2.7017772719369935e-05 107.95813796187797 2.194512159536523e-05 1 290.9330288090903 14.509136214261344 ""
54 37 226054 1.6270833333332031e-09 0.010406437924481341 "" 1 "" 3.597402941048812e-05 2.195885783765305e-05 -148.9642808445294 1.1935529546375639e-05 1 290.9333202617032 14.509082027022943 ""
55 38 226055 4.802777777777394e-09 0.0388598588816484 "" 1 "" 6.876378843078712e-05 3.268631264225617e-05 107.09090067122968 2.013284448615727e-05 1 290.9328094334852 14.509144482447718 ""
56 39 226056 1.2986111111110073e-09 0.009445262351899616 "" 1 "" 4.308467212136037e-05 1.3493991419492407e-05 67.40113719035726 1.023938533495223e-05 1 290.9332107307545 14.509170620023893 ""
57 40 226057 9.541666666665904e-10 0.013266280046081876 "" 1 "" 2.291636469889114e-05 1.3422558904800546e-05 165.56172515411373 7.447882180220063e-06 0 290.9332989684769 14.509203403334494 ""
58 41 226058 1.5826388888887623e-09 0.010944717252206611 "" 1 "" 4.4021955438110455e-05 1.9803018632243355e-05 87.60879143461469 1.2538414965440911e-05 1 290.93317817278904 14.509289071745643 ""
59 42 226059 3.5208333333330516e-10 0.00391843477556613 "" 1 "" 1.4213894668433584e-05 9.485355492752089e-06 71.81595965921073 4.9308935668391965e-06 0 290.93388731331646 14.509272684710323 ""
60 43 226060 2.968055555555318e-09 0.022733272475530992 "" 1 "" 4.378678697359608e-05 3.370064976346479e-05 178.8890724551836 1.6312966799678345e-05 1 290.9329125339003 14.509301979013445 ""
61 44 226061 1.2930555555554522e-09 0.010751620106121266 "" 1 "" 2.791004774812204e-05 1.8582189773642418e-05 52.37111123123069 9.670991715352404e-06 1 290.93325762962934 14.509316169158238 ""
62 45 226062 1.0437499999999165e-09 0.013618997629924206 0.001306575697030481 1 1 3.6851061670563794e-05 1.3404756390037785e-05 3.0874993472390053 8.06936102120344e-06 0 290.933650076866 14.509309337230533 ""
63 46 226063 2.1166666666664974e-09 0.017062570738875064 "" 1 "" 5.0101654305270704e-05 2.7341981149337978e-05 138.27434929384242 1.5717493838996e-05 1 290.93310217953666 14.509368593164872 ""
65 47 226065 5.451388888888452e-10 0.0048540798028336675 "" 1 "" 3.7380596136140016e-05 7.199887734184334e-06 -142.4376665803241 6.966718295501456e-06 1 290.9333308013747 14.509389244680595 ""
66 48 226066 1.5256944444443224e-09 0.015381435384416409 "" 1 "" 4.736578318310274e-05 1.518063617357408e-05 -150.05763919642663 1.138727013274822e-05 1 290.9332742998471 14.50943297186745 ""
69 49 226069 1.4062499999998875e-09 0.04026843759476206 "" 1 "" 3.0615131560569375e-05 2.029179192351214e-05 92.31192490461643 1.0584504725914557e-05 1 290.9331610512368 14.509490705338974 ""
70 50 226070 2.361111111110922e-10 0.001951356638219691 "" 1 "" 1.0497679348859366e-05 8.785660895921402e-06 121.43947340184617 4.078271607496099e-06 1 290.93306937435227 14.509477370109336 ""
72 51 226072 9.652777777777005e-10 0.00877272250309761 "" 1 "" 3.465332462323393e-05 1.4909792407158379e-05 142.32930088000765 9.652738207158096e-06 1 290.9329250720323 14.509497143005175 ""
73 52 226073 4.87499999999961e-10 0.011686716619467831 "" 1 "" 1.8783292364978614e-05 1.1265127356287183e-05 93.45066975105357 6.177264367338423e-06 1 290.9331288648032 14.509491388963767 ""
75 53 226075 8.756944444443744e-10 0.0070739939830529565 "" 1 "" 2.9105295734624293e-05 1.2451387064143113e-05 52.43071776913706 8.084201896082823e-06 1 290.9328648444198 14.509501453606644 ""
81 54 226081 1.7638888888887477e-10 0.0063103572634209916 "" 1 "" 9.75154370396028e-06 7.654076086550023e-06 -153.95341266597222 3.6688110824669435e-06 1 290.93294477946546 14.50956198881477 ""
83 55 w51e2e 1.9048611111109587e-09 0.21528657093882475 0.026721990032803292 1 1 3.118361615213623e-05 2.4433878222878292e-05 1.6363298228781047 1.1202717372443458e-05 0 290.93318813378755 14.509587776949937 ""
84 56 226084 1.312499999999895e-10 0.0011131478899670622 "" 1 "" 8.33780313630036e-06 5.911777119285325e-06 72.40995617839647 2.98144718575617e-06 1 290.9331227021188 14.509569397380856 ""
85 57 226085 1.6861111111109762e-09 0.25070235935180224 "" 1 "" 4.464406550063588e-05 2.0662595069846666e-05 54.88591306202248 1.2897827870325938e-05 1 290.9329733650672 14.509607206990005 ""
