_idx _index _name area_ellipse area_exact 50.0GHz_dend_flux major_fwhm minor_fwhm position_angle radius x_cen y_cen rejected 50.0GHz_detected 50.0GHz_snr 50.0GHz_ellipse_peak 50.0GHz_ellipse_sum 50.0GHz_ellipse_rms 50.0GHz_ellipse_median 50.0GHz_ellipse_npix 48.0GHz_ellipse_peak 48.0GHz_ellipse_sum 48.0GHz_ellipse_rms 48.0GHz_ellipse_median 48.0GHz_ellipse_npix 45.0GHz_ellipse_peak 45.0GHz_ellipse_sum 45.0GHz_ellipse_rms 45.0GHz_ellipse_median 45.0GHz_ellipse_npix 47.0GHz_ellipse_peak 47.0GHz_ellipse_sum 47.0GHz_ellipse_rms 47.0GHz_ellipse_median 47.0GHz_ellipse_npix 46.0GHz_ellipse_peak 46.0GHz_ellipse_sum 46.0GHz_ellipse_rms 46.0GHz_ellipse_median 46.0GHz_ellipse_npix 49.0GHz_ellipse_peak 49.0GHz_ellipse_sum 49.0GHz_ellipse_rms 49.0GHz_ellipse_median 49.0GHz_ellipse_npix 44.0GHz_ellipse_peak 44.0GHz_ellipse_sum 44.0GHz_ellipse_rms 44.0GHz_ellipse_median 44.0GHz_ellipse_npix 43.0GHz_ellipse_peak 43.0GHz_ellipse_sum 43.0GHz_ellipse_rms 43.0GHz_ellipse_median 43.0GHz_ellipse_npix 42.0GHz_ellipse_peak 42.0GHz_ellipse_sum 42.0GHz_ellipse_rms 42.0GHz_ellipse_median 42.0GHz_ellipse_npix 50.0GHz_annulus_peak 50.0GHz_annulus_sum 50.0GHz_annulus_rms 50.0GHz_annulus_median 50.0GHz_annulus_npix 48.0GHz_annulus_peak 48.0GHz_annulus_sum 48.0GHz_annulus_rms 48.0GHz_annulus_median 48.0GHz_annulus_npix 45.0GHz_annulus_peak 45.0GHz_annulus_sum 45.0GHz_annulus_rms 45.0GHz_annulus_median 45.0GHz_annulus_npix 47.0GHz_annulus_peak 47.0GHz_annulus_sum 47.0GHz_annulus_rms 47.0GHz_annulus_median 47.0GHz_annulus_npix 46.0GHz_annulus_peak 46.0GHz_annulus_sum 46.0GHz_annulus_rms 46.0GHz_annulus_median 46.0GHz_annulus_npix 49.0GHz_annulus_peak 49.0GHz_annulus_sum 49.0GHz_annulus_rms 49.0GHz_annulus_median 49.0GHz_annulus_npix 44.0GHz_annulus_peak 44.0GHz_annulus_sum 44.0GHz_annulus_rms 44.0GHz_annulus_median 44.0GHz_annulus_npix 43.0GHz_annulus_peak 43.0GHz_annulus_sum 43.0GHz_annulus_rms 43.0GHz_annulus_median 43.0GHz_annulus_npix 42.0GHz_annulus_peak 42.0GHz_annulus_sum 42.0GHz_annulus_rms 42.0GHz_annulus_median 42.0GHz_annulus_npix
0 0 50000 1.0386783707450894e-10 2.623456790123876e-10 0.0009314777469575638 1.6592060362205617e-05 7.970733364154167e-06 93.92033655417843 4.88361676770971e-06 290.9166126912024 14.516971510207227 1 1 4.372525879116245 0.0004478002665564418 0.0006435345778279326 9.669513302638232e-05 0.00022538425400853157 49.0 0.0002465764118824154 0.00033129251668068404 8.842194953665933e-05 0.00016207448788918555 49.0 8.394659380428493e-05 2.6165957759134836e-05 6.185393851516499e-05 -1.5860498024267145e-05 49.0 0.00014327345706988126 0.00020704034643305344 3.7491250546135485e-05 9.406698518432677e-05 49.0 0.00028192729223519564 0.000195192755041113 9.602746659907343e-05 8.901044202502817e-05 49.0 0.00046899408334866166 0.0004999459586805454 0.00011239899558340703 0.00020362591021694243 49.0 0.0001244555169250816 0.00013837802136632788 4.3283917110433554e-05 7.424750219797716e-05 49.0 0.00014208203356247395 6.91375425753767e-05 7.825119849675809e-05 5.545047770283418e-06 49.0 5.434016202343628e-05 3.6843922638973786e-05 3.300707095731014e-05 1.6456715457024984e-05 49.0 0.0006980906473472714 0.012156977059767853 0.0001702880461434141 8.394784526899457e-05 1804.0 0.00043361535063013434 0.009764797457850189 0.00011749534385833854 9.35156931518577e-05 1804.0 0.00024979349109344184 0.0025519183916261966 9.183218524787166e-05 -6.831704013166018e-06 1804.0 0.000339318357873708 0.007013226098441773 9.795823691974394e-05 6.406995089491829e-05 1804.0 0.00034829042851924896 0.00751835682055328 9.264955583553405e-05 8.754534064792097e-05 1804.0 0.0004989642766304314 0.010785502017820612 0.0001270098201904303 9.563104686094448e-05 1804.0 0.0002766034158412367 0.004222242924755301 7.994179620157221e-05 4.407378219184466e-05 1804.0 0.00024695138563401997 0.003940590642929077 8.216611638680728e-05 2.9439579520840198e-05 1804.0 0.0002858922234736383 0.003203282249417052 7.775582054038387e-05 1.9121111108688638e-05 1804.0
1 1 50001 1.1399113005605956e-10 2.777777777778222e-10 0.001129015837230723 1.4121274583491097e-05 1.0278143423835544e-05 124.2122501900162 5.1160709858493395e-06 290.9174298304035 14.516987820613148 1 1 4.578038614490963 0.0003250321897212416 0.0003283108520568731 9.465795459427427e-05 7.382285548374057e-05 63.0 0.00030056165996938944 0.00029541389362637186 0.00010599876787556004 6.967120134504512e-05 63.0 0.00017163797747343779 9.455418794697778e-05 7.922532712851364e-05 1.0338511856389232e-05 63.0 0.00020497507648542523 0.0001764884507941327 7.219768554797231e-05 5.203360706218518e-05 63.0 0.0003376683162059635 0.00026988135869537215 0.00012362007960134208 7.594035560032353e-05 63.0 0.00033855592482723296 0.00039891224497335857 0.00012327400927613757 0.00010889008990488946 63.0 0.0002878010564018041 0.0003911344142274851 6.083510311262768e-05 0.0001387103839078918 63.0 0.0001960064546437934 0.0003033324510452522 4.902027368731383e-05 0.00012355588842183352 63.0 0.00031948593095876276 0.0003343890152299 9.975244550217243e-05 0.00012141140905441716 63.0 0.0006477807182818651 0.010234969776529868 0.0001849718447374501 5.630796658806503e-05 1744.0 0.000372841430362314 0.00658514652255526 0.00010524415574906063 5.7665696658659726e-05 1744.0 0.00028229874442331493 0.0022952623766810155 8.21337541112326e-05 -1.0540430594119243e-05 1744.0 0.00030789425363764167 0.005124902090190825 9.950166180285168e-05 3.565520455595106e-05 1744.0 0.00028244260465726256 0.003840828348933224 8.926940807052499e-05 2.1250889403745532e-05 1744.0 0.0005089034093543887 0.007815471431661824 0.0001431049082017482 5.3389605454867706e-05 1744.0 0.0002378745994064957 0.004712704623488881 7.410014043162893e-05 5.813268944621086e-05 1744.0 0.0002678714517969638 0.005092092171390233 6.554920795082795e-05 6.450344517361373e-05 1744.0 0.00027959319413639605 0.004513991503008096 7.358515672352457e-05 5.391188824432902e-05 1744.0
2 2 50002 4.547665632721574e-11 1.5432098765434567e-10 0.0005612342738195212 7.834194518366207e-06 7.391144405418379e-06 152.745776585819 3.231434036119182e-06 290.91763488055176 14.517131253508044 1 1 4.114489023345472 0.00021872368233744055 0.0001030592960238322 0.00012259396904725278 0.00010531736188568175 21.0 0.00017402198864147067 0.00010119977421834124 6.012713914020634e-05 0.00011358568735886365 21.0 0.0001574510388309136 6.26307527568812e-05 6.612381120179484e-05 4.7661356802564114e-05 21.0 0.00018738627841230482 9.861012449650422e-05 5.947327037735103e-05 9.640158532420173e-05 21.0 0.00018489695503376424 0.00010333815204389158 5.1243511623985274e-05 0.0001156563957920298 21.0 7.771258970024064e-05 1.1730729961463377e-05 8.779313149512835e-05 -0.00010428875248180702 21.0 9.416541433893144e-05 2.5371050972615148e-05 2.977151393467777e-05 2.1299194486346096e-05 21.0 8.207605424104258e-05 4.432798197297633e-05 1.3366107240893336e-05 4.78852707601618e-05 21.0 2.4463317458867095e-05 3.5809013429364613e-06 3.084892799483399e-05 -2.226158721896354e-05 21.0 0.0004449794359970838 0.005419358443145941 0.00016343709185994625 9.177087889611357e-08 1560.0 0.0004644894215743989 0.006052148918099369 9.610570907064578e-05 6.405061867553741e-05 1560.0 0.0002226063224952668 0.002490180229728066 8.311224256807642e-05 1.0341738743591122e-05 1560.0 0.00028705786098726094 0.00471687973103887 8.333025335134608e-05 4.827677912544459e-05 1560.0 0.0003361983981449157 0.0054481957556081 9.204561550413944e-05 6.810105696786195e-05 1560.0 0.0004882307257503271 0.00586269679709942 0.0001301271774889137 3.56363489117939e-05 1560.0 0.0002233866835013032 0.0023802444139562366 6.415253413646876e-05 1.996041100937873e-05 1560.0 0.00021932786330580711 0.0026998070487656016 6.0117451070203596e-05 2.896995283663273e-05 1560.0 0.0002786013064906001 0.0027795211008874565 6.06452249220092e-05 3.3802287362050265e-05 1560.0
3 3 50003 6.882633564265328e-11 1.851851851852148e-10 0.0006702100418443554 1.596813744737946e-05 5.488047963089425e-06 -159.58897213162237 3.975377324735146e-06 290.9180636436057 14.517214672071223 1 1 4.231785957779543 0.0003068810037802905 0.00022162533693488763 0.00016029592774963235 0.00012873993546236306 37.0 5.784897075500339e-05 8.272412435198176e-06 5.1108436794679154e-05 -6.145189399830997e-05 37.0 7.395119610009715e-05 3.962737821520604e-05 6.170433648018703e-05 1.3043104445387144e-05 37.0 7.537680357927456e-05 2.9207241892524443e-05 5.4432905347046446e-05 -1.2478033113438869e-06 37.0 4.3655360059347004e-05 1.1893859050143489e-05 7.098502001629785e-05 -6.06343055551406e-05 37.0 0.00016460426559206098 4.4947949305649e-05 0.00015654481034651607 -4.82406685478054e-05 37.0 0.00022870549582876265 0.00014521737485794474 9.358407039364133e-05 8.677847654325888e-05 37.0 8.508114842697978e-05 3.0315682420488953e-05 6.997107342646329e-05 -4.248931145411916e-05 37.0 2.40862718783319e-05 3.069246196446827e-06 4.2543458452650675e-05 -5.749720730818808e-05 37.0 0.000495470711030066 0.006286445006282336 0.0001750355028536228 -1.1373235793143976e-05 1796.0 0.00028360894066281617 0.0016401006066307728 9.773077688533155e-05 -4.762274329550564e-05 1796.0 0.00026882952079176903 0.0023800343452376723 7.798856070409918e-05 -5.188532213651342e-06 1796.0 0.00019127862469758838 0.0011869879667514816 8.826073677623879e-05 -5.928143946221098e-05 1796.0 0.00018261736840941012 0.0013926922536863647 9.547864218793629e-05 -4.77073117508553e-05 1796.0 0.0004071305738762021 0.004217686289638706 0.00014618391363561463 -2.7933350793318823e-05 1796.0 0.0001749600633047521 0.0017943941318431587 6.49202772572221e-05 -5.118599801789969e-06 1796.0 0.00021745068079326302 0.0018200033460496 6.4035369301466e-05 -8.49474236019887e-06 1796.0 0.0002632153045851737 0.0019644406923294408 6.607563442645508e-05 3.862976882373914e-06 1796.0
4 4 50004 5.7474688127918313e-11 1.9290123456793208e-10 0.0007675579452334977 1.1723253431314244e-05 6.242319339116798e-06 177.17155976897723 3.632782057166217e-06 290.91682522120317 14.517564548312022 1 1 4.384555346757961 0.00034404147299937904 0.00013154124566111463 0.00016148166335240257 1.2211552530061454e-05 31.0 0.0002749963023234159 0.00016115493224111468 7.700519719144397e-05 0.0001058490524883382 31.0 5.4296633607009426e-05 1.6478175608127717e-05 5.229180595027491e-05 -1.5010633433121257e-05 31.0 0.00017711010877974331 0.0001258187690535087 8.015721715738955e-05 7.554504554718733e-05 31.0 0.00019923775107599795 0.00016248511804892255 5.54982112245693e-05 0.00011953412467846647 31.0 0.00028077897150069475 0.00020126912653889182 9.49648724543364e-05 0.00010917720646830276 31.0 0.00010651355114532635 7.172181958634721e-05 3.649073905809202e-05 5.943182259215973e-05 31.0 6.185700476635247e-05 1.3851926104123939e-05 4.101850396338132e-05 -3.146955350530334e-05 31.0 0.00016495493764523417 6.667259080024837e-05 6.009418869489483e-05 3.21471416100394e-05 31.0 0.0006262591341510415 0.011076167348478109 0.0001720584928036426 8.747325045987964e-05 1672.0 0.00036342584644444287 0.006850065107098599 0.00010075597713022894 6.750105239916593e-05 1672.0 0.00022106003598310053 0.001878665445907175 8.472953776515461e-05 -1.9727058315766044e-05 1672.0 0.00040592937148176134 0.006343156465778757 9.197573988515591e-05 6.743981793988496e-05 1672.0 0.000382669095415622 0.005125885497387201 0.00010092539484100753 4.5732755097560585e-05 1672.0 0.0005711530684493482 0.009817472306656595 0.00013884390137633562 8.960970444604754e-05 1672.0 0.00025772719527594745 0.0033313350631792235 7.260463355440634e-05 3.428592026466504e-05 1672.0 0.0002388594875810668 0.0032945827600146544 7.024527500434748e-05 2.9341226763790473e-05 1672.0 0.0002473581989761442 0.003972277597841848 7.196473843557617e-05 4.7350033128168434e-05 1672.0
5 5 50005 3.6850377256578526e-11 1.2345679012347653e-10 0.0004781629044407089 7.890544650048568e-06 5.946377397221513e-06 88.16056112735735 2.9088545188913825e-06 290.91809473814004 14.517576225909808 1 1 3.27104757172107 0.0002902792766690254 0.00016694238180620528 0.00016136791578576023 0.00020801633945666254 19.0 0.00014445149281527847 7.663632630601353e-05 4.776941119693061e-05 8.77343918546103e-05 19.0 8.000220987014472e-05 2.1012180458982797e-05 4.1115177350532015e-05 2.361200677114539e-05 19.0 0.00017428756109438837 4.948679357959308e-05 4.905318305248248e-05 5.1394170441199094e-05 19.0 0.00015545995847787708 3.792547968264552e-05 5.7043323743263116e-05 3.041213312826585e-05 19.0 0.00011637444549705833 5.773744140109695e-05 4.054972292972038e-05 5.779535058536567e-05 19.0 -6.244175438041566e-06 0.0 2.9563212236737253e-05 -7.03291516401805e-05 19.0 4.925539906253107e-05 6.680302807809839e-06 6.3263090597518e-05 -3.6196612200001255e-05 19.0 6.42882805550471e-05 9.111925469993415e-06 5.138800580294011e-05 -1.8476959667168558e-05 19.0 0.0005595726543106139 0.004732296452471376 0.00016822197436332215 -2.6820820494322106e-05 1568.0 0.0003115137806162238 0.002960610742342429 8.773196398031241e-05 2.8321182981017046e-06 1568.0 0.0002541211433708668 0.0018189471951513987 8.042736745640829e-05 -1.4720193576067686e-05 1568.0 0.0003075277782045305 0.003535800072173531 9.250211817346058e-05 1.2391819836921059e-05 1568.0 0.0004197983362246305 0.004022030776297677 9.648146207480932e-05 3.1035669962875545e-05 1568.0 0.00041939388029277325 0.004030574050417933 0.00014035086809514616 -1.8265836843056604e-05 1568.0 0.00027263976517133415 0.002632060531318627 7.245606566606192e-05 1.884942685137503e-05 1568.0 0.00024187637609429657 0.002716528988991034 5.847269624408422e-05 3.227748675271869e-05 1568.0 0.0002336286415811628 0.0023143377822543603 6.715700728745396e-05 1.72219515661709e-05 1568.0
6 6 50006 3.225590009088417e-11 1.0802469135804197e-10 0.0004208967915394411 8.025841925718531e-06 5.117243415798671e-06 -151.4243911728516 2.7214829310852976e-06 290.9159304587649 14.517653912537996 1 1 0.7195166318983013 0.00021566395298577845 9.269624455623484e-05 6.609276842581634e-05 0.00010646666487446055 15.0 0.00020724254136439413 5.2716428602082856e-05 7.786805322029953e-05 7.309634384000674e-05 15.0 0.00011743876530090347 2.618160638745834e-05 5.4222897822967024e-05 2.559797212597914e-05 15.0 9.051281085703522e-05 1.4378818518558672e-05 8.613694536458784e-05 -5.515852535609156e-05 15.0 5.7296318118460476e-05 3.446390342835734e-06 6.338923511827e-05 -0.00010002270573750138 15.0 0.00020000738732051104 3.919617877117558e-05 0.0001224202735126076 1.8908558558905497e-05 15.0 0.00011259924940532073 1.7895788010908598e-05 4.686082314522287e-05 1.44333880598424e-05 15.0 0.0003151390701532364 0.00011847772445826852 8.322181219457979e-05 0.00018532254034653306 15.0 0.00015875774261076003 6.312327116373909e-05 4.502776279104328e-05 0.00010750799265224487 15.0 0.0005843209801241755 0.007168348253926382 0.00017789382861927035 3.0441446142503992e-05 1556.0 0.0003516667347867042 0.005285366142211123 0.00011259540921829854 4.492130392463878e-05 1556.0 0.00041015318129211664 0.002912784934799905 0.0001020951745536437 -2.437504008412361e-06 1556.0 0.0003215378092136234 0.004432239909194632 9.545124517138812e-05 3.263795224484056e-05 1556.0 0.0003965834912378341 0.006233365349546767 0.00011582433331962712 7.985903357621282e-05 1556.0 0.00042607219074852765 0.00616526081253666 0.00013476813900943258 3.2699019357096404e-05 1556.0 0.00034689277526922524 0.003564548853034327 9.321317695793309e-05 2.5126504624495283e-05 1556.0 0.00029906255076639354 0.0030886973152248775 7.960374240417183e-05 2.7061529181082733e-05 1556.0 0.0003448310599196702 0.004056159028594103 8.772803769816097e-05 4.721970617538318e-05 1556.0
7 7 50007 2.4241643429913097e-10 1.1496913580248751e-09 0.015777905670770392 1.899123236134009e-05 1.625273386039667e-05 128.49573180296161 7.46074268241309e-06 290.91590860285373 14.518008131813025 0 1 29.812472896535205 0.005808641668409109 0.013479876467886492 0.0016938935109950828 0.0015495310071855783 129.0 0.005980938673019409 0.012763952417614507 0.001732086094947444 0.001581143238581717 129.0 0.005894273519515991 0.01177133809144107 0.0017839555705136683 0.001866149716079235 129.0 0.005953725427389145 0.012706714643676805 0.001742811544671728 0.0018565587233752012 129.0 0.006178538780659437 0.012679711769982397 0.0018549259228270068 0.00201712385751307 129.0 0.005438630934804678 0.01269847720361865 0.001636940191914628 0.0015511194942519069 129.0 0.006026863120496273 0.01176391899772174 0.0017509825802302697 0.001902338583022356 129.0 0.005963707808405161 0.011606867801048412 0.0017368715792092262 0.001992474775761366 129.0 0.006016787141561508 0.011759915191083072 0.0017362016554123062 0.0020548354368656874 129.0 0.0005560266436077654 0.0070406410521886495 0.00018183738208072233 -1.8044767784886062e-05 1872.0 0.0004170357424300164 0.0037136715149468326 0.00011158846441371932 -1.9512193830450997e-05 1872.0 0.0004826273943763226 0.005634580451454537 0.0001228245400263454 3.865434700855985e-05 1872.0 0.00035294354893267155 0.0038863165816910173 0.00010924515243884687 -4.360147158877226e-06 1872.0 0.00045061297714710236 0.005600147626119347 0.00011981612210354473 3.462455060798675e-05 1872.0 0.0005879263626411557 0.0055516833948455364 0.00015295469287769666 -2.4827688321238384e-05 1872.0 0.00034185004187747836 0.005580564515782706 0.00010169087900835465 4.8886788135860115e-05 1872.0 0.00037116758176125586 0.005525249235988591 9.350875573620067e-05 5.190066440263763e-05 1872.0 0.0003120169567409903 0.004398973548941683 8.873178611685674e-05 3.4753411455312744e-05 1872.0
8 8 50008 6.364476073536259e-11 1.6975308641978025e-10 0.0006083543019004059 1.2504737649630967e-05 6.480456293220333e-06 98.83335527582432 3.822806900273831e-06 290.9168712550506 14.517998352653661 1 1 3.5021817864825175 0.00040387778426520526 0.00040635159329238137 0.00011148434551063068 0.00020230832160450518 35.0 0.00027101318119093776 0.00016585507315222838 6.467210903945296e-05 8.164533937815577e-05 35.0 -9.128383680945262e-06 0.0 5.161606877343701e-05 -0.0001483950181864202 35.0 0.00024898399715311825 0.0002431325185520977 5.61162420428709e-05 0.0001381892361678183 35.0 0.0001978268992388621 7.498789087304326e-05 9.055099936204301e-05 2.588372262835037e-05 35.0 0.00015901133883744478 9.110575372846541e-05 9.001714400812011e-05 2.847149153240025e-05 35.0 0.00011500118125695735 5.2983724632128286e-05 4.783904566057505e-05 2.2267216991167516e-05 35.0 0.00010216468217549846 4.1661082904912705e-05 6.078115848041869e-05 5.198407961870544e-06 35.0 0.00012094365956727415 5.7485295621141576e-05 9.327640825969494e-05 8.808242455415893e-06 35.0 0.0005980588612146676 0.010344586025043257 0.0001628720964387142 8.14306695247069e-05 1700.0 0.0004317064303904772 0.008612640210101472 0.0001064645389198982 8.991011418402195e-05 1700.0 0.00024257440236397088 0.0018210687513399838 7.998344958227328e-05 -2.5677083613118157e-05 1700.0 0.0002950248890556395 0.0074527293047874045 9.352393791655804e-05 8.724542567506433e-05 1700.0 0.00040658540092408657 0.006528498676052211 0.00010201123275215096 7.098697096807882e-05 1700.0 0.000515331921633333 0.00965920423816505 0.00012384956032933947 8.620070002507418e-05 1700.0 0.0002789424324873835 0.0034234597596382917 7.872511851998112e-05 3.425878094276413e-05 1700.0 0.0002563247981015593 0.002877887975284098 7.873958688446273e-05 2.022189619310666e-05 1700.0 0.00030205698567442596 0.0026771476166252924 7.774601159885967e-05 1.1914309652638622e-05 1700.0
9 9 50009 3.2304579075329414e-11 1.0802469135804197e-10 0.0004019754653795556 7.195899564737287e-06 5.716056407371827e-06 54.45431863993008 2.7235357195659234e-06 290.91693607325857 14.518202277572362 1 1 2.297807014760492 0.0002779044152703136 0.0001104450864425897 0.00010303070478947039 0.0001188441674457863 17.0 0.000274327932856977 4.461349729186636e-05 0.0001320512751558284 -6.24957392574288e-05 17.0 0.0002123154845321551 0.00010609985146603933 4.798871728920807e-05 0.00014765064406674355 17.0 0.00019989175780210644 8.142119545358153e-05 6.931148921147754e-05 0.00011700367758749053 17.0 0.00020949395548086613 0.0001185331885154414 4.431456121164499e-05 0.00016077655891422182 17.0 0.00018800597172230482 4.9882484228889436e-05 0.0001118471843036276 1.630354563531e-05 17.0 0.00012229774438310415 4.90351124037877e-05 3.304415624328007e-05 7.286043546628207e-05 17.0 0.00012707123823929578 4.671521687288388e-05 5.4026843955477674e-05 8.029674791032448e-05 17.0 0.0001588971063029021 8.900753347977793e-05 2.583219490638345e-05 0.0001354267296846956 17.0 0.000612422707490623 0.010935717715588513 0.00019163985578305538 8.294984581880271e-05 1552.0 0.00042642647167667747 0.006598822398957537 0.00012385578062511224 5.4657069995300844e-05 1552.0 0.0004542383539956063 0.003472883887200297 0.00010460387637585507 9.189625416183844e-06 1552.0 0.0006560995825566351 0.006678993940545627 0.0001278317789691079 5.1054175855824724e-05 1552.0 0.0006115722935646772 0.006057357051168139 0.00013555510563065582 5.3876930905971676e-05 1552.0 0.0007003339705988765 0.00803830305037112 0.00016102746813410622 4.856554005527869e-05 1552.0 0.0006586203817278147 0.004880776286148218 0.00010877697449112868 4.607013033819385e-05 1552.0 0.0005115591338835657 0.004225756559502058 0.00010788903960335748 2.948981273220852e-05 1552.0 0.0005256867734715343 0.00427579962914392 9.979651486510437e-05 4.3792242649942636e-05 1552.0
