_idx annulus_median_band6 annulus_rms_band6 area_ellipse area_exact circ1_flux_band3 circ1_flux_band6 circ1_npix circ1_rms_band3 circ1_rms_band6 circ2_flux_band3 circ2_flux_band6 circ2_npix circ2_rms_band3 circ2_rms_band6 circ3_flux_band3 circ3_flux_band6 circ3_npix circ3_rms_band3 circ3_rms_band6 dend_flux_band3 dend_flux_band6 detected_band3 detected_band6 ellipse_flux_band3 ellipse_flux_band6 ellipse_npix ellipse_rms_band3 ellipse_rms_band6 major_fwhm minor_fwhm peak_flux_band3 peak_flux_band6 position_angle radius rejected snr_band3 snr_band6 x_cen y_cen
300 "" "" 3.420526686342829e-10 1.2075617283952549e-09 0.00017143040895462036 "" 44.0 1.9193764004753745e-07 "" 0.0005702379858121276 "" 164.0 5.586654488311762e-07 "" 0.0010643020505085588 "" 376.0 9.848390532285231e-07 "" 0.0015476440634503293 "" 1 "" 0.0016116229817271233 "" 712.0 1.0513317761388084e-06 "" 3.0438193959029792e-05 1.4308417880254833e-05 4.285645445634145e-06 "" 144.41740539809717 8.86232196422321e-06 1 10.918384581322574 "" 290.9324641041156 14.505463207607606
301 "" "" 2.0888631121410336e-10 7.677469135803696e-10 0.0002053922216873616 "" 37.0 7.258970250247289e-07 "" 0.0006700382218696177 "" 161.0 1.2555427487351985e-06 "" 0.0010543533135205507 "" 365.0 1.4977939270591743e-06 "" 0.0011223453537276855 "" 1 "" 0.00113347836304456 "" 429.0 1.508723373247636e-06 "" 1.7531856781045947e-05 1.5170488961598865e-05 6.441458481276641e-06 "" 168.70960385573304 6.925577961275961e-06 1 13.576728316980665 "" 290.932251645595 14.50594006679758
302 "" "" 1.2765706102995963e-10 5.131172839506994e-10 0.00026628540945239365 "" 37.0 8.076748337437907e-07 "" 0.0007623171550221741 "" 161.0 1.9150217209247168e-06 "" 0.0010263192234560847 "" 365.0 2.238188927892747e-06 "" 0.0009697445750791791 "" 1 "" 0.0009627579711377621 "" 271.0 2.132323519234917e-06 "" 1.4998823164888106e-05 1.0836902580589704e-05 8.324386726599187e-06 "" 46.389067652876484 5.4140648445430586e-06 1 24.334614132328944 "" 290.9312747841587 14.506062497029822
303 "" "" 2.2762706220609382e-10 1.003086419753247e-09 0.00040306965820491314 "" 37.0 1.211850388720284e-06 "" 0.0013307948829606175 "" 161.0 2.2526755764826758e-06 "" 0.002062459010630846 "" 365.0 2.9143231382208864e-06 "" 0.002322912046859824 "" 1 "" 0.002253932412713766 "" 477.0 3.0566962759193946e-06 "" 1.7275301027077688e-05 1.6777057072347542e-05 1.247718682861887e-05 "" -163.47013076216194 7.229578518672274e-06 1 32.437021641984934 "" 290.93235876480605 14.506201931099756
304 "" "" 2.9208208725608655e-10 1.141975308642158e-09 0.0002648060326464474 "" 37.0 4.069597893599672e-07 "" 0.0009123726049438119 "" 161.0 1.1378304571120718e-06 "" 0.0015556438593193889 "" 365.0 1.555805072009948e-06 "" 0.0019920873133719348 "" 1 "" 0.0020035174675285816 "" 605.0 1.7024886551204752e-06 "" 2.0932527643574234e-05 1.7766454273143732e-05 7.768046998535283e-06 "" -139.50638380121052 8.189426583702352e-06 1 10.055053025958726 "" 290.9324806942913 14.50621809701476
305 "" "" 3.659537829261246e-10 1.3869598765434316e-09 0.00027385816792957485 "" 44.0 1.0392530557461056e-06 "" 0.0009024792816489935 "" 164.0 1.4196735876923767e-06 "" 0.0016639415407553315 "" 376.0 1.5249831678582596e-06 "" 0.0023715888530910383 "" 1 "" 0.0024184472858905792 "" 758.0 1.6648987173750834e-06 "" 2.2865138297950148e-05 2.0378392406509078e-05 8.084979526756797e-06 "" 122.5128632619309 9.166723941038081e-06 1 6.9012193389059915 "" 290.9324334014553 14.50623411367346
306 "" "" 1.7244967434974028e-10 5.902777777778722e-10 0.0001371481630485505 "" 44.0 2.6776136555852546e-07 "" 0.0004008410032838583 "" 164.0 5.743513200229946e-07 "" 0.0006790955667383969 "" 376.0 7.221602219142114e-07 "" 0.000613725535016445 "" 1 "" 0.0006641349755227566 "" 356.0 6.998379339634592e-07 "" 1.7841801424219404e-05 1.2306687973418055e-05 3.4992028759006644e-06 "" -142.16899898083102 6.292630362689022e-06 1 4.273347750018179 "" 290.9325758165957 14.50649343701496
307 "" "" 2.008693914296791e-10 6.809413580248002e-10 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.0007680835812331564 "" 1 "" "" "" "" "" "" 1.8954930381961805e-05 1.3493017465213992e-05 "" "" -164.40895042766687 6.791378166116389e-06 1 4.5961770853805755 "" 290.93261188257986 14.506498846833734
308 "" "" 2.236982493246637e-09 7.405478395062912e-09 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.010976017360590461 "" 1 "" "" "" "" "" "" 5.898627325098981e-05 4.828687938511068e-05 "" "" -154.59881193819612 2.2663778906205515e-05 1 17.186701044978317 "" 290.9326725479112 14.506860438840864
309 2.358088977416628e-07 2.767503953105123e-06 3.3800396754815335e-10 1.0378086419754747e-09 0.00010966250556521118 0.0009730308665893972 112.0 3.4150828986943155e-07 1.572773049973202e-06 0.00040063998312689364 0.003660973161458969 448.0 6.321874733218173e-07 2.4764697405184696e-06 0.0007217126549221575 0.007381732575595379 1020.0 8.050804795515066e-07 3.0446018929234088e-06 0.0010530721593518914 "" 1 "" 0.0011776593746617436 0.011973120272159576 1946.0 7.166256008914919e-07 2.845936051328712e-06 3.240386416429808e-05 1.3281358742077503e-05 3.629149659900577e-06 1.500926009612158e-05 82.74079497387781 8.809716466837998e-06 0 6.81225083394527 5.423392468611031 290.9326299445535 14.506982760016017
310 -4.744293846670189e-07 1.0272595300029805e-06 1.4613300077214727e-10 5.073302469136614e-10 0.00013842883345205337 0.0010557562345638871 112.0 3.5078905005832793e-07 2.785022209416629e-06 0.0003947067598346621 0.0027451557107269764 448.0 7.240304235536655e-07 3.4031848815415768e-06 0.0006361331325024366 0.003997765481472015 1020.0 8.866457199274717e-07 3.341384262064453e-06 0.0005599595175994683 0.003561354968447742 1 1 0.0005921225529164076 0.003987731412053108 846.0 7.803850280360251e-07 3.0834747531907417e-06 1.8022911374594507e-05 1.0323830550948045e-05 3.5839257179759443e-06 1.3572507668868639e-05 47.18464695302183 5.792621920383133e-06 0 13.541654369880728 13.212345344539425 290.9337172926665 14.507031173866187
311 9.831026090978412e-07 1.9975463798240107e-06 1.0769483693431107e-10 3.7229938271610893e-10 0.000128957923152484 0.001057495130226016 112.0 2.7719036855339364e-07 1.9155351196758524e-06 0.0003625523822847754 0.0035149387549608946 448.0 6.042669214423871e-07 2.1620329342278367e-06 0.0005411340389400721 0.0062427641823887825 1020.0 8.285576023917764e-07 2.37242597358457e-06 0.0004051108568197431 "" 1 "" 0.0004307005146984011 0.004493694752454758 620.0 6.775598494401925e-07 2.1771384542304855e-06 1.2764987457487226e-05 1.0742169554179499e-05 3.344160177221056e-06 1.2201316167193e-05 -142.1002238311108 4.9727711556280425e-06 0 5.976757903128507 6.108151625629823 290.93277772860085 14.507272606426197
312 "" "" 1.0478682362641393e-09 3.1597222222227277e-09 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.003261754608803155 "" 1 "" "" "" "" "" "" 4.6701986142737306e-05 2.856859205964852e-05 "" "" 80.30893238384458 1.5511520463757024e-05 1 6.292834144817471 "" 290.93267098356927 14.507336197322816
313 1.833045644161757e-07 3.067233860135163e-06 5.259146208548613e-10 2.2820216049386364e-09 0.0007316519622690976 0.005123367067426443 112.0 1.3992288645725593e-06 2.8542972265013e-06 0.002239643130451441 0.01665308326482773 448.0 2.743359805530999e-06 7.244739089202473e-06 0.0038324263878166676 0.027769191190600395 1020.0 3.816523712134667e-06 1.1024739196422924e-05 0.006064568893402501 0.04080231275115293 1 1 0.005791560281068087 0.042113207280635834 3024.0 4.32199377821257e-06 1.1864787331742415e-05 2.766681623876333e-05 2.420324358179808e-05 1.8532304238760844e-05 5.013481859350577e-05 161.47440763497335 1.0989012174683087e-05 0 19.838665333847192 16.345287278256798 290.93274645501515 14.507377666950305
314 "" "" 1.420978016837836e-09 3.1944444444449554e-09 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.003759380597685198 "" 1 "" "" "" "" "" "" 7.060140689156506e-05 2.562663104202215e-05 "" "" -167.5423248334631 1.8063200883330434e-05 1 5.779629805554822 "" 290.93278074000074 14.507421546065057
315 -3.3020415912687895e-07 1.5618898051097323e-06 3.2764129929195017e-10 1.329089506173052e-09 0.0003127923991996795 0.0021974355913698673 113.0 1.0488670369355382e-06 2.4452068866304704e-06 0.0010281470604240894 0.006893587298691273 441.0 1.5699835460305116e-06 3.487326608620508e-06 0.001862632459960878 0.011767132207751274 1009.0 1.8914551823550932e-06 4.62294718342867e-06 0.0025360864300740618 0.016154097155559276 1 1 0.002513132756575942 0.015332073904573917 2065.0 2.185336320902658e-06 5.742204539399202e-06 2.298946791442287e-05 1.9923807149390845e-05 8.850896847434342e-06 2.317460712220054e-05 2.0305071690769756 8.673619212594577e-06 0 24.98330049515965 14.837542985673297 290.93347167802 14.507544303977676
316 2.1463370103447232e-06 3.661856222945739e-06 3.380150487477773e-10 1.1400462962964786e-09 0.0004028175608254969 0.0030958675779402256 112.0 4.1591080584533447e-07 5.748841498384756e-06 0.0012769866734743118 0.010955825448036194 448.0 1.0874872660014717e-06 8.237261284040134e-06 0.0023009576834738255 0.019213706254959106 1020.0 1.7605181262834617e-06 9.220659406996125e-06 0.003025525040242662 0.030290604409304093 1 1 0.003944307565689087 0.029705671593546867 3398.0 2.3614029386833576e-06 9.006489857656593e-06 3.068486832706688e-05 2.4453391196887886e-05 9.826755558606237e-06 3.915247361874208e-05 150.30884211166992 8.809860875537402e-06 0 8.698030546054014 10.69197457109507 290.9328845879428 14.507581170149265
317 -7.723319868091494e-07 5.516348590900178e-06 5.306230197314159e-10 1.9309413580250002e-09 0.000576855381950736 0.0028689801692962646 112.0 1.196347112288332e-06 3.1499309645276086e-06 0.0017952986527234316 0.00983421877026558 448.0 2.2292367451515287e-06 4.476733043978618e-06 0.0032431650906801224 0.017794489860534668 1020.0 2.9084874766551568e-06 5.735216282737792e-06 0.005892464867848396 0.011381474688779534 1 1 0.0058408766053617 0.03561671823263168 3060.0 3.227872040678897e-06 6.81799921687777e-06 3.2856628030943025e-05 2.056272218890755e-05 1.4746648048458155e-05 3.145751907140948e-05 76.64744219846152 1.1038093679879534e-05 0 11.794381924009363 5.702598114140594 290.93290965118507 14.507640122690525
318 1.2752837008633833e-08 5.9265431452057325e-06 3.9641012578488203e-10 1.2191358024693307e-09 0.0004900842905044556 0.0012014798121526837 113.0 4.365712586109333e-06 2.8709305218857156e-06 0.001892576226964593 0.004567901603877544 441.0 6.5304707937482094e-06 5.192017063377364e-06 0.0034384899772703648 0.00826409924775362 1009.0 6.630394777105796e-06 5.502824640009197e-06 0.005137862660631789 "" 1 "" 0.005330794490873814 0.014065144583582878 2283.0 5.695955406419722e-06 6.781835856574252e-06 3.640449351412499e-05 1.3864597258576309e-05 2.612738717289176e-05 2.567607407399919e-05 76.64183338158641 9.540549779792646e-06 0 20.500817090650887 4.33238625703245 290.93294057874124 14.507720119819524
319 "" "" 2.0833433175868242e-10 7.098765432099901e-10 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.0009249805374473329 "" 1 "" "" "" "" "" "" 2.084547229792342e-05 1.2725258605148376e-05 "" "" 67.91765337455368 6.916421531921149e-06 1 4.173722232394688 "" 290.9328733994565 14.507734947798056
320 "" "" 3.188905157777164e-10 7.793209876544456e-10 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.0025074496732441073 "" 1 "" "" "" "" "" "" 3.30367999422664e-05 1.2290262021644168e-05 "" "" 86.83127231311201 8.557005943699047e-06 1 0.7466503044412953 "" 290.93295016171265 14.507794207155735
321 -2.2353851818479598e-06 9.689076523241013e-06 1.821253425762955e-09 5.7966820987663595e-09 0.0009192621218971908 0.005345847457647324 112.0 3.8454649926188464e-06 3.3802311723220316e-06 0.0037002800963819027 0.022743456065654755 448.0 7.7901132985427e-06 9.474302559582602e-06 0.008989626541733742 0.05279548466205597 1020.0 1.160653438082682e-05 1.536669729339495e-05 0.04123316906121955 "" 1 "" 0.042001716792583466 0.28460511565208435 10490.0 1.13595953404083e-05 2.3078535240251275e-05 5.215528484349971e-05 4.446205918584395e-05 7.147665019147098e-05 0.00014492461923509836 179.74758572448886 2.0449666181546515e-05 0 40.271807408367266 14.95752653903293 290.93291222589346 14.50785334042414
322 -3.5614461921795737e-06 4.918417493084276e-06 8.410600224712035e-11 3.202160493827673e-10 0.00017046992434188724 0.0008714701980352402 112.0 8.731285530515016e-07 3.886766363981389e-06 0.00045825139386579394 0.0008098140824586153 448.0 1.574317682686417e-06 4.516251128977982e-06 0.0005526726017706096 -0.0008067678427323699 1020.0 1.6752763521091491e-06 4.1253982484131724e-06 0.0005038512708909834 0.0010029811645961922 1 1 0.0004995159106329083 0.0006283135153353214 484.0 1.474735066559784e-06 4.680923354971287e-06 1.3380139380695105e-05 8.003572168463385e-06 5.6974872677528765e-06 1.4759845726075582e-05 -140.0070122860125 4.3945511867128265e-06 1 6.668754434519117 3.000933887135285 290.93283678943294 14.507894043161624
323 "" "" 7.900744831190361e-10 2.9301697530868883e-09 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.005720537481307247 "" 1 "" "" "" "" "" "" 3.3550562138705826e-05 2.9983736108537214e-05 "" "" 46.6882043150235 1.3468990606312642e-05 1 26.733747435611882 "" 290.9329652395962 14.5081772749296
324 "" "" 1.1920123908817092e-09 2.7874228395066187e-09 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.0031072555462443984 "" 1 "" "" "" "" "" "" 6.211454617135468e-05 2.443458491481423e-05 "" "" -150.5401245548818 1.654403412104894e-05 1 11.31538233447877 "" 290.93331703438633 14.509193625248113
325 "" "" 2.8961499345649816e-10 8.77700617284091e-10 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.00536283542493473 "" 1 "" "" "" "" "" "" 2.891786449581019e-05 1.275182475488336e-05 "" "" 58.375508086843816 8.154766929096808e-06 1 2.574492049726266 "" 290.93287130808613 14.509501761881861
326 "" "" 3.0301208611820545e-10 9.143518518519981e-10 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.0009813707044670197 "" 1 "" "" "" "" "" "" 2.8219958416177962e-05 1.3671655117747578e-05 "" "" 92.47855900480936 8.341247503247152e-06 1 0.41300949533594683 "" 290.93301477164175 14.509511386187103
327 "" "" 6.043470683031319e-11 1.7939814814817683e-10 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" 0.002011073955587105 "" 1 "" "" "" "" "" "" 1.150560185387332e-05 6.687974224873719e-06 "" "" 172.96175994422754 3.72515409073876e-06 1 1.8764198386318323 "" 290.9329397723214 14.509507532368284
