_idx _index _name area_ellipse area_exact major_fwhm minor_fwhm position_angle radius rejected x_cen y_cen 226.0GHz_detected 93.0GHz_dend_flux 93.0GHz_detected 226.0GHz_snr 226.0GHz_dend_flux 226.0GHz_ellipse_peak 226.0GHz_ellipse_sum 226.0GHz_ellipse_rms 226.0GHz_ellipse_median 226.0GHz_ellipse_npix 93.0GHz_ellipse_peak 93.0GHz_ellipse_sum 93.0GHz_ellipse_rms 93.0GHz_ellipse_median 93.0GHz_ellipse_npix 45.0GHz_ellipse_peak 45.0GHz_ellipse_sum 45.0GHz_ellipse_rms 45.0GHz_ellipse_median 45.0GHz_ellipse_npix 226.0GHz_annulus_peak 226.0GHz_annulus_sum 226.0GHz_annulus_rms 226.0GHz_annulus_median 226.0GHz_annulus_npix 93.0GHz_annulus_peak 93.0GHz_annulus_sum 93.0GHz_annulus_rms 93.0GHz_annulus_median 93.0GHz_annulus_npix 45.0GHz_annulus_peak 45.0GHz_annulus_sum 45.0GHz_annulus_rms 45.0GHz_annulus_median 45.0GHz_annulus_npix 33.0GHz_ellipse_sum 33.0GHz_ellipse_err 33.0GHz_ellipse_peak 2.0GHz_ellipse_sum 2.0GHz_ellipse_err 2.0GHz_ellipse_peak 4.0GHz_ellipse_sum 4.0GHz_ellipse_err 4.0GHz_ellipse_peak 5.0GHz_ellipse_sum 5.0GHz_ellipse_err 5.0GHz_ellipse_peak 6.0GHz_ellipse_sum 6.0GHz_ellipse_err 6.0GHz_ellipse_peak 36.0GHz_ellipse_sum 36.0GHz_ellipse_err 36.0GHz_ellipse_peak 8.0GHz_ellipse_sum 8.0GHz_ellipse_err 8.0GHz_ellipse_peak 13.0GHz_ellipse_sum 13.0GHz_ellipse_err 13.0GHz_ellipse_peak 14.0GHz_ellipse_sum 14.0GHz_ellipse_err 14.0GHz_ellipse_peak 22.0GHz_ellipse_sum 22.0GHz_ellipse_err 22.0GHz_ellipse_peak 25.0GHz_ellipse_sum 25.0GHz_ellipse_err 25.0GHz_ellipse_peak 27.0GHz_ellipse_sum 27.0GHz_ellipse_err 27.0GHz_ellipse_peak 29.0GHz_ellipse_sum 29.0GHz_ellipse_err 29.0GHz_ellipse_peak
0 0 226000 1.1618809202257402e-09 2.6881944444442296e-09 6.094320796988987e-05 2.4274697197868504e-05 112.36229924061479 1.633359723240518e-05 1 290.93262418373143 14.506971806033004 1 "" "" 9.093363219915782 0.0216745204246657 0.0015268169809132814 0.026218410944770537 0.0002740213579588051 0.0003749299212358892 6693.0 0.00045398008660413325 0.0020300399037403265 8.907559040316224e-05 7.841297338018194e-05 2407.0 7.827737216234892e-05 0.00017469843469137262 3.784056118041243e-05 -2.5541737241702574e-05 599.0 0.0004781547759193927 0.0019502009058615295 0.00016790454136587563 -0.00011370034189894795 6896.0 0.0006397591787390411 0.001582235736531061 0.00014917278402977693 -4.505345714278519e-05 4656.0 0.00037126419918766083 0.007204247826900626 0.00010245298003839357 -6.2748541343859045e-06 3020.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
1 1 226001 1.0975602355192169e-10 3.8541666666663584e-10 1.742323609605898e-05 9.98558206281194e-06 46.79691481339097 5.020132896892872e-06 0 290.93371900748224 14.507032996988855 1 0.0005362579659587778 1 12.989828445905355 0.0034802187833753977 0.0013806633651256561 0.004023244805997216 0.00028971082054633166 0.0004441858036443591 783.0 0.0004483229131437838 0.0005809772338310224 9.08906006740217e-05 0.0002397952339379117 285.0 9.010523205972268e-05 0.00012017435874732562 2.869890774892463e-05 3.8178025588598195e-05 71.0 0.0002684095234144479 0.0007017958625027432 0.0001078385812290446 -4.7303910832852125e-05 2920.0 0.0001178053134935908 0.0006065482160829648 3.861429195897117e-05 2.386560481681954e-05 2304.0 0.00015238519450764507 0.0018969662285172135 4.097800863167635e-05 6.010051661925206e-06 1836.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
2 2 226002 1.7538711417707271e-09 4.587499999999633e-09 6.781863389565283e-05 3.2928060977726355e-05 109.26168814596397 2.0067805045975032e-05 1 290.9327553587353 14.507137042711516 1 "" "" 5.606932143409775 0.038393612445000266 0.0010900372872129083 0.04316719160633098 0.00028282537913041863 0.0004348189104348421 10085.0 0.00033167051151394844 0.0016021560968151694 9.569384943723132e-05 1.3070454770058859e-05 3635.0 8.002206231189492e-05 0.00041732561504032327 4.9266966488655816e-05 -2.055058552566403e-05 909.0 0.0006135512958280742 0.0032365516530702357 0.00019440886019890687 -7.446854579029605e-05 7504.0 6.133480928838253e-05 0.00010941427156933926 4.577958949122817e-05 -4.754270048579201e-05 5024.0 0.00010589292642622036 0.001359388704049785 4.455722711493492e-05 -2.171348958371951e-05 3188.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
3 3 226003 7.191976547486632e-10 1.7312499999998614e-09 4.4457541869094745e-05 2.0597775897929222e-05 91.0934491249093 1.2850652015771551e-05 1 290.93277772962637 14.50725607041403 1 "" "" 5.029305133375364 0.013511906477139944 0.0012411788338795304 0.01565121167237577 0.0002603270383622855 0.0003909676452167332 4137.0 0.00041832998977042735 0.0005841188109698555 0.00010918078013686671 -9.44928888202412e-06 1481.0 8.103109622977258e-05 0.00022626511832098242 4.198518246480901e-05 -2.649110933193184e-06 371.0 0.001000589574687183 0.0038739220555694532 0.0002467893279417164 -7.752577948849648e-05 5368.0 0.0001821818295866251 0.00023874801001556956 5.942286652370346e-05 -5.72501085116528e-05 3776.0 0.00016447568817505912 0.0029524064483438623 6.222336108085969e-05 -5.0418448301324395e-06 2572.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
4 4 226004 6.642318349839736e-11 2.437499999999805e-10 9.774163360346992e-06 8.652818726241408e-06 -159.199138399932 3.905358216142557e-06 0 290.93325403192387 14.507259904782071 1 "" "" 12.979002175609976 0.002457044969325158 0.001366203767247498 0.00253873314462951 0.00030962319004224564 0.0006069263909012079 385.0 0.00019214775238651782 0.00014946524063602176 3.2077122802516946e-05 0.00013962890079710633 135.0 6.67760465039976e-05 5.177468881819912e-05 2.470102782630028e-05 2.9427126703813343e-05 35.0 0.0002497972163837403 0.0009958721376445274 0.00010526261948047562 1.0275374734192155e-05 2236.0 0.00013338816643226892 0.0006220422796497956 4.0992297706655535e-05 3.616470348788425e-05 1880.0 9.538624356683608e-05 0.0016567852121116635 3.539044371551014e-05 9.899365964877664e-06 1636.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
5 5 226005 9.91484205102088e-11 3.138888888888638e-10 1.3841942539873498e-05 9.12024007078204e-06 58.85095563494338 4.771379191228111e-06 1 290.932807658191 14.507305716286536 1 "" "" 4.141989290768585 0.0026684116246301188 0.001000589574687183 0.0029406949289763748 0.00020979011409646365 0.0005280270706862211 569.0 0.00018785189604386687 0.00021667385339229023 4.088891213208594e-05 0.00014158956764731556 207.0 8.730732833106533e-05 5.594598635062481e-05 3.24581360095969e-05 2.0192068108071153e-05 49.0 0.0007656423258595169 0.0014353531354777459 0.00024157222639788962 -4.234243533574045e-05 2624.0 0.00041832998977042735 0.000577311762699978 0.00011189206013176108 -5.09495657752268e-05 2092.0 0.00016447568817505912 0.0024569081722541357 4.630486412892147e-05 1.4235688320380628e-05 1728.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
6 6 226006 7.344309669726464e-10 1.9708333333331756e-09 3.7607543612767e-05 2.4865289787363725e-05 171.1652565820468 1.2986033604749096e-05 1 290.932922258928 14.507331910711876 1 "" "" 4.423911372601419 0.014818753612024246 0.0009028638596646488 0.01773758114416981 0.00019084408814094755 0.00040966435335576534 4235.0 2.023583510890603e-05 7.203507959501971e-06 3.511407192486394e-05 -3.742343687918037e-05 1527.0 0.00013882237581817279 0.0004967961754758708 4.434308701920594e-05 1.0190622432527434e-05 385.0 0.0004582184483297169 0.0036903716773378126 0.00020408723946332863 2.14843348658178e-05 4784.0 8.228894148487598e-05 0.00023527533616201352 5.5270417213423665e-05 -4.215366061544046e-05 3388.0 8.672946841378819e-05 0.0013214189207898267 3.8641475703834713e-05 -1.0603061501805988e-05 2376.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
8 7 226008 4.1830022867406705e-10 1.6923611111109756e-09 2.5791604807700867e-05 2.065034200432671e-05 137.75663619576017 9.800428919597918e-06 1 290.9327477301235 14.507378907397998 1 "" "" 16.675833250637954 0.04080231275115293 0.005099964328110218 0.03948126954990462 0.0012260127926561894 0.001177892554551363 2413.0 0.0023182558361440897 0.005317286255503761 0.0005600967018951413 0.0005838878569193184 865.0 0.00029539067343620543 0.000905241378185602 6.414844178521664e-05 6.587429470581273e-05 223.0 0.0010441291378811002 0.005904339917454972 0.00030582965489386345 5.07974618813023e-05 3696.0 0.00038158343522809446 0.002659987526932439 0.00012457181883516102 0.00011110697232652456 2764.0 0.00018493354952005568 0.002318255677166402 4.824240358053907e-05 2.258756593637559e-06 2056.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
10 8 226010 2.0334249869346097e-10 6.041666666666183e-10 2.1381362492260158e-05 1.210905611674917e-05 114.54378330317199 6.83305804779188e-06 1 290.9328069856382 14.507417828103847 1 "" "" 5.414210442917687 0.008100725186999093 0.0015449989587068558 0.009546472407223878 0.0002929758877810768 0.0007775698322802782 1163.0 0.0005260655307210982 0.0011899962569140888 8.458673671927099e-05 0.0003507680376060307 423.0 0.00012545977116653912 0.00020638296396363097 4.812467919895795e-05 2.9638645837318304e-05 107.0 0.0011034016497433186 0.007793254971062358 0.0002853599753825351 0.00019210770551580936 3284.0 0.0008111495990306139 0.002306041982188171 0.00012816093015097604 7.834764255676419e-05 2512.0 0.00029539067343620543 0.0018088438362357912 5.338001664500619e-05 -9.909900804765293e-06 1940.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
11 9 226011 4.5212789390970683e-10 1.103472222222134e-09 3.1758979815063384e-05 1.8126429684784056e-05 -158.51899742162823 1.0189002831926142e-05 1 290.93275778920446 14.50743069822004 1 "" "" 1.340009631405654 0.013494686883875631 0.0013147093122825027 0.017498451227306814 0.0002590581980290725 0.0007064493256621063 2607.0 0.0003727494622580707 0.001892580507531999 5.85678103078788e-05 0.000250409881118685 937.0 7.727260216131078e-05 0.00012727504989388928 3.340349050100605e-05 -1.2097237146736711e-05 237.0 0.004926035180687904 0.02091803470257674 0.0009811193005406897 9.290982416132465e-05 4224.0 0.0023182558361440897 0.005590754154599558 0.00039959499259497585 0.00011048041778849438 3084.0 0.00016167294342626413 0.002456834494630566 4.4118558067259776e-05 4.330861480143963e-06 2204.0 "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" "" ""
